编号,longitude,latitude,最近邻距离_m
57431,108.3481,30.8311,1729.0385828228184
57432,108.4139,30.8033,1170.5112212015347
A6348,108.2461,30.5217,1813.2013513032127
A6398,108.6056,30.7281,1112.1135645044703
A7015,108.0594,30.7956,4507.833296316479
A7054,108.4019,30.6814,2649.517403146951
A7055,108.6119,30.8147,5868.485935564697
A7107,108.2361,30.6356,2814.1156512201255
A7108,108.6339,30.6103,5872.833185279094
A7189,108.5639,30.525,6620.584804860597
A7190,107.9492,30.8078,6301.324973457855
A7244,108.8153,30.6742,5762.531720940659
A7245,108.58,30.8903,1008.4318298785075
A7246,108.6847,30.6814,5402.674616308809
A7247,108.5739,30.6214,2501.0215822984596
A7248,108.4814,30.6033,2053.4383484426085
A7249,108.4731,30.5128,2231.460532184266
A7250,108.4206,30.6103,4957.094746027689
A7251,108.3111,30.4797,5264.167785623661
A7252,108.4617,30.4953,2231.460532184266
A7253,108.1319,30.6119,6324.508079516552
A7601,108.3719,30.8119,1889.1677223229683
A7602,107.995,30.8486,5745.000930307982
A7603,108.16,30.7672,5338.404161351664
A7604,108.1706,30.5658,5463.358451691769
A7605,108.3392,30.6083,1275.0238613349725
A7606,108.4314,30.5667,4957.094746027689
A7607,108.6058,30.7381,1112.1135645044703
A7608,108.7867,30.6083,4901.621351116512
A7609,108.5314,30.9044,2422.782014725304
A7610,108.2539,30.8197,4072.974231172726
A7611,108.5061,30.66,6213.372254898455
A7612,108.4053,30.8108,1170.5112212015347
A7613,108.0319,30.7461,3741.5742471279973
A7614,108.2733,30.7297,4776.535693183179
A7615,108.0381,30.5986,6067.203463962817
A7616,108.2503,30.5058,1813.2013513032127
A7617,108.4853,30.7653,1248.4682661705765
A7618,108.4322,30.7622,723.9164333303837
A7619,108.4322,30.9094,4463.932665333339
A7620,108.7786,30.5242,4651.913925566481
A7621,108.8953,30.6581,1046.1987665704896
A7622,108.6839,30.8028,3811.819610273976
A7623,108.7556,30.6672,5762.531720940659
A7624,108.3969,30.9664,5977.28036802453
A7625,108.6064,30.6625,3427.1147457756806
